count	id	species1_id	species1_term	species1_form	species2_id	species2_term	species2_form	interaction_id	interaction_term	interaction_form	docs_count	passages_count	rank	doc_id	doc_score	passage_score	triplet_score	sentence	field	evaluation_species_identified	evaluation_pair_interacting	comment
11	83402;ROBI_000012	120915	Hibiscus trionum	Hibiscus trionum	675118	Papilionoidea	butterflies	ROBI_000012	pollinates	pollinators	1	1	1	25040014	0.7906944444444444	0.7906944444444444	0.7906944444444444	The flower of Hibiscus trionum has the potential to interact with its pollinators (honeybees, other bees, butterflies and flies) through iridescent signals produced by its cuticular diffraction grating.	abstract	1	1	
12	5139035;ROBI_000072	5139035	Myxosoma pharyngeus	M. pharyngeus	870821	Dero digitata	Dero digitata	ROBI_000072	host	host	1	1	1	34114095	0.47568181818181815	0.4756818181818181	0.4756818181818181	Lastly, the life cycle of M. pharyngeus, which is thought to utilize the oligochaete worm Dero digitata as their definitive host, was putatively confirmed by 18S rRNA sequence matching to actinospore stages from oligochaetes in catfish ponds in Mississippi.	abstract	0	1	pas le bon genre pour l'abbrvation d'espce
13	354283;ROBI_000205	1068806	Leptocybe invasa	Leptocybe invasa	5822157	Quadrastichus mendeli	Quadrastichus mendeli	ROBI_000205	parasitoid	parasitoid of	5	7	1	30794147	1.1758333333333333	0.60875	4.069583333333333	Biological traits of Quadrastichus mendeli (Hymenoptera, Eulophidae), parasitoid of the eucalyptus gall wasp Leptocybe invasa (Hymenoptera, Eulophidae) in Thailand.	title	1	1	
14	776316;ROBI_000072	314588	Metarhizium anisopliae	Metarhizium anisopliae	776316	Cylas formicarius	Cylas formicarius|Sweetpotato weevil	ROBI_000072	host	host	1	1	1	28596128	0.6125	0.6125	0.6125	Sweetpotato weevil, Cylas formicarius (Fab.) (Coleoptera: Brentidae) avoids its host plant when a virulent Metarhizium anisopliae isolate is present.	title	1	1	pas la bonne relation
15	28622;ROBI_000200	172395	Trachydium roylei	Trachydium roylei	255452	Geum elatum	Geum elatum	ROBI_000204	grazes	grazing	1	1	1	15847338	0.5439285714285714	0.5439285714285714	0.5439285714285714	Phytosociological study performed in plots of varying slope and grazing pressure intensity revealed that the dominant grasses were Danthonia cachemyriana and Poa annua and dominant forbs were Trachydium roylei and Geum elatum in all the plots.	abstract	1	0	peut etre? Coexiste au. Meme endroit
16	741844;ROBI_000313	741844	Streptococcus pluranimalium	Streptococcus pluranimalium	770309	Homo	humans	ROBI_000314	infects	infections	3	3	1	37315770	0.8120833333333334	0.8120833333333334	2.337083333333333	Streptococcus pluranimalium, an emerging zoonotic pathogen associated with infections in various animal species and humans, cannot be reliably identified by phenotypic characterization using the commercial kits routinely used in laboratories.	abstract	1	1	
17	463982;ROBI_000003	3666733	Pronoprymna ventricosa	Pronoprymna ventricosa	463982	Alosa fallax	twaite shad|Alosa fallax	ROBI_000003	parasite-host	parasite of	1	1	1	17594115	0.9175	0.9175	0.9175	Ultrastructural study of the spermatozoon of Pronoprymna ventricosa (Digenea, Baccigerinae), parasite of the twaite shad Alosa fallax Lacepede (Pisces, Teleostei).	title	1	1	
18	252146;ROBI_000003	1070066	Equidae	horses	690900	Sarcocystis neurona	Sarcocystis neurona	ROBI_000314	infects	infection|infections	29	40	1	15715250	1.7322395833333333	0.53125	20.55974568833944	Experimental infection of ponies with Sarcocystis fayeri and differentiation from Sarcocystis neurona infections in horses.	title	1	1	
19	473682;ROBI_000001	252145	Toxoplasma gondii	Toxoplasma gondii	400498	Myocoptes musculinus	Myocoptes musculinus	ROBI_000314	infects	infection|infected with	2	8	1	17877534	3.0565625	0.92125	4.078229166666667	BALB/c mice resistant to Toxoplasma gondii infection proved to be highly susceptible when previously infected with Myocoptes musculinus fur mites.	title	1	0	peut etre indirecte? 2 espces qui infectes la meme espce
20	373931;ROBI_000016	360356	Cutibacterium acnes	Cutibacterium acnes	373931	Spongia officinalis	Spongia officinalis	ROBI_000016	symbiosis	symbiont	1	1	1	34424396	0.8678125	0.8678125	0.8678125	Most clusters are found in Bacillus and Streptomyces species which typically inhabit soil and the rhizosphere, but some clusters are found with diverse species representation such as Photorhabdus and Xenorhabdus which are symbiotic with entomopathogenic nematodes; the human skin commensal Cutibacterium acnes, and the marine Bacillus rugosus SPB7, a symbiont to the sea sponge Spongia officinalis.	abstract	1	0	pas la bonne paire selectionne
21	1014608;ROBI_000072	1014608	Gyliauchen nahaensis	G. nahaensis	429113	Catostomidae	suckers	ROBI_000072	host	hosts	1	1	1	11077432	0.4035576923076923	0.4035576923076923	0.4035576923076923	The peculiar gut morphology of G. nahaensis, coupled with alterations in the arrangement of suckers, is interpreted to be an adaptation to the predominantly herbivorous diets of the definitive hosts.	abstract	0	0	
22	556492;ROBI_000001	494583	Alloptes	Alloptes	561979	Zachvatkinia	Zachvatkinia	ROBI_000072	host	host	1	1	1	25342243	0.5875	0.5875	0.5875	Differences in speciation progress in feather mites (Analgoidea) inhabiting the same host: the case of Zachvatkinia and Alloptes living on arctic and long-tailed skuas.	title	1	0	peut etre indirecte? 2 espces qui infectes la meme espce
23	690712;ROBI_000072	3840188	Entyloma spilanthis	Entyloma spilanthis	7604728	Acmella papposa	Acmella papposa	ROBI_000072	host	host	1	1	1	11935893	0.8628125	0.8628125	0.8628125	Entyloma spilanthis is found on the host species Acmella papposa var.	abstract	1	1	
24	5003888;ROBI_000003	5003888	Capillaria erinacei	Capillaria erinacei	867752	Crenosoma striatum	Crenosoma striatum	ROBI_000303	endoparasite	endoparasites	1	1	1	34827903	0.5551785714285714	0.5551785714285714	0.5551785714285714	The most prevalent identified endoparasites were Crenosoma striatum (45%), Capillaria erinacei (42.5%) and Brachylaemus erinacei (22.5%), in accordance with previous reports from hedgehogs in southern Italy.	abstract	1	0	parasite de la meme espce
25	3666177;ROBI_000003	317376	Notemigonus crysoleucas	Notemigonus crysoleucas	3666177	Neochasmus	Neochasmus	ROBI_000314	infects	infected with	1	1	1	16696430	0.8745833333333334	0.8745833333333334	0.8745833333333334	Seven species of fishes, Catostomus commersonii (LacÃ©pÃ¨de), Etheostoma nigrum Rafinesque, Micropterus dolomieu LacÃ©pÃ¨de, Notemigonus crysoleucas (Mitchill), Notropis hudsonius (Clinton), Perca flavescens (Mitchill), and Percina caprodes (Rafinesque) from the St. Lawrence River, Quebec, Canada, were found infected with progenetic specimens of Neochasmus spp.	abstract	1	1	
26	3596658;ROBI_000001	3596658	Geophaps smithii	Geophaps smithii	3596664	Petrophassa rufipennis	Petrophassa rufipennis	ROBI_000072	host	host	1	1	1	18855488	0.8808333333333334	0.8808333333333334	0.8808333333333334	Eight new species of lice in the genus Columbicola Ewing are described: C. harbisoni (type host: Phaps histrionica (Gould)), C. koopae (type host: Geophaps scripta (Temminck)), C. eowilsoni (type host: Geophaps smithii (Jardine and Selby), C. wombeyi (type host: Geophaps plumnifera Gould), C. masoni (type host: Petrophassa rufipennis Collett), C. waiteae (type host: Columba leucomela Temminck), C. rodmani (type host: Geopelia humeralis (Temminck)), and C. smithae (type host: Turtur brehmeri (Hartlaub)).	abstract	1	0	pas la bonne paire selectionne
27	42324;ROBI_000001	14703	Rana pipiens	Rana pipiens	42324	Panthera pardus	leopard	ROBI_000314	infects	infection	16	16	1	9009340	0.5237499999999999	0.5237499999999999	7.439136904761904	Mycobacterium marinum causes both long-term subclinical infection and acute disease in the leopard frog (Rana pipiens).	title	0	0	
28	1068218;ROBI_000313	1068218	Equus caballus	equine	770315	Homo sapiens	human	ROBI_000314	infects	infections	172	190	1	34468519	1.4285416666666664	0.7168749999999999	84.99571880325563	In this report, we have tried to summarize the findings of different research and review articles from Chinese, English, and Mongolian Scientific Literature reporting the evidence for equine influenza virus infections in human beings.	abstract	1	0	relation indirecte
29	263722;ROBI_000003	263722	Hylomantis lemur	Hylomantis lemur	332086	Atelopus zeteki	Atelopus zeteki	ROBI_000314	infects	infection	1	1	1	27225201	0.5476785714285713	0.5476785714285713	0.5476785714285713	We compared host survivorship, infection intensity, shedding rates, and zoospore viability between 2 species of endangered tropical frogs, Hylomantis lemur and Atelopus zeteki, when exposed to a highly virulent lineage of Bd (JEL 423).	abstract	1	0	2 espces infectes par meme espce
30	4992843;ROBI_000003	196762	Alces americanus	moose	7676429	Pneumostrongylus tenuis	Pneumostrongylus tenuis	ROBI_000314	infects	infected with	1	1	1	5959405	0.8475	0.8475	0.8475	Histopathologic studies on cerebrospinal nematodiasis of moose in Minnesota naturally infected with Pneumostrongylus tenuis.	title	1	1	
31	116307;ROBI_000001	116307	Moloch horridus	Moloch horridus	671419	Phrynosoma platyrhinos	Phrynosoma platyrhinos	ROBI_000202	preys	prey	1	1	1	15601883	0.561875	0.561875	0.561875	By comparing the prey capture kinematics and overall feeding behavior in two highly specialized ant-eating lizards (Moloch horridus and Phrynosoma platyrhinos) with those of two closely related dietary generalists (Pogona vitticeps and Uma notata), we investigate whether dietary specialization has been accompanied by changes in the function and use of the feeding system.	abstract	1	0	comparaison de 2 espces
32	178309;ROBI_000003	178309	Eupatorium capillifolium	Eupatorium capillifolium	340473	Pyrrhopappus carolinianus	Pyrrhopappus carolinianus	ROBI_000314	infects	infection	1	1	1	30823226	0.5664583333333334	0.5664583333333334	0.5664583333333334	Nine plant species were determined to be new host recordings for TSWV infection, including Cardamine hirsuta, Eupatorium capillifolium, Geranium carolinianum, Gnaphalium purpureum, Linaria canadense, Molluga verticillata, Pyrrhopappus carolinianus, Raphanus raphanistrum, and Triodanis perfoliata.	abstract	1	0	2 espces hotes de la meme espce
33	631983;ROBI_000072	3521083	Androlaelaps fahrenholzi	Androlaelaps fahrenholzi	386299	Rhabdomys pumilio	Rhabdomys pumilio	ROBI_000072	host	host	1	1	1	19168068	0.8845833333333334	0.8845833333333334	0.8845833333333334	We studied abundance and distribution of seven ectoparasite species (fleas Chiastopsylla rossi and Dynopsyllus ellobius, a louse Polyplax arvicanthis, mites Androlaelaps fahrenholzi and Laelaps giganteus and two ticks Haemaphysalis elliptica and Hyalomma truncatum) exploiting the same populations of the rodent host Rhabdomys pumilio in South Africa.	abstract	1	1	
34	731568;ROBI_000072	259054	Prunus persica	peach	731568	Prunus dulcis	almond	ROBI_000072	host	host	15	16	1	34175919	1.1066666666666665	0.3991666666666666	7.01250496031746	Nymphal development showed that peach, almond, and pistachio can sustain H. halys as single host plants until adult eclosion, whereas grapes cannot.	abstract	1	0	2 espces hotes de la meme espce
35	469913;ROBI_000001	233987	Meloidogyne enterolobii	Meloidogyne enterolobii	319890	Ixora chinensis	Ixora chinensis	ROBI_000314	infects	Infecting	1	1	1	35124996	0.9225	0.9225	0.9225	First Report of Meloidogyne enterolobii Infecting Ixora chinensis in China.	title	1	1	
36	4526980;ROBI_000001	130906	Diglyphus isaea	Diglyphus isaea	4526980	Halticoptera arduine	Halticoptera arduine	ROBI_000205	parasitoid	Parasitoids	1	3	1	29659772	1.7296230158730157	0.60625	1.7296230158730157	Interaction Between Two Leafminer Parasitoids, Halticoptera arduine (Hymenoptera: Pteromalidae) and Diglyphus isaea (Hymenoptera: Eulophidae), in the Management of Liriomyza huidobrensis (Diptera: Agromyzidae).	title	1	1	la relation est avec une autre espce
37	4392859;ROBI_000072	4392859	Phytomyza prava	Phytomyza prava	73078	Dizygomyza	Dizygomyza	ROBI_000072	host	host	1	1	1	31716715	0.54375	0.54375	0.54375	We review host and distribution data for the known species, reporting 14 new host species records (including the first rearing records for Cerodontha (Dizygomyza) magnicornis (Loew)) and 12 new state records (including the first USA record for Phytomyza prava Spencer).	abstract	1	0	liste d'espce
38	648906;ROBI_000001	363301	Rhizopus	Rhizopus	648906	Absidia caerulea	Absidia orchidis	ROBI_000314	infects	infection	1	1	1	32942814	0.7878125	0.7878125	0.7878125	Five (20.8%) patients had Mucorales infection, 14 (58.3%) Rhizopus infection, 3 (12.5%) had Absidia orchidis infection, and 2 (8.3%) had Scedosporium apiospermum infection.	abstract	1	0	2 espces qui infectent les humains
39	141159;ROBI_000001	118724	Xyleborus glabratus	X. glabratus	141159	Persea palustris	swampbay|Persea palustris	ROBI_000065	attracts	attracted	3	3	1	22606816	0.7975	0.7975	1.9253125	In 2009, female X. glabratus were equally attracted to traps baited with swampbay (Persea palustris (Rafinesque) Sargent) and camphortree (Cinnamomum camphora (L.) J. Presl), which were more attractive than avocado (Persea americana Miller), lancewood (Ocotea coriacea (Swartz) Britton), and sweetbay (Magnolia virginiana L.).	abstract	1	1	
40	413963;ROBI_000202	413963	Agelena labyrinthica	Agelena labyrinthica	461645	Apis mellifera	honey bee	ROBI_000202	preys	prey	1	1	1	36857367	0.53625	0.53625	0.53625	Virus transmission via honey bee prey and potential impact on cocoon-building in labyrinth spiders (Agelena labyrinthica).	title	1	0	interaction indirecte
41	582291;ROBI_000003	582291	Melampsoridium hiratsukanum	M. hiratsukanum	791133	Alnus incana	Alnus incana	ROBI_000313	pathogen	pathogen	1	1	1	34436156	0.48375	0.48375	0.48375	Given this complicated taxonomic history, and since a M. hiratsukanum-like rust is strongly impacting Alnus incana stands in the Alps, probably affecting the bank protection role of this species along rivers, the unambiguous identification of this pathogen was a pressing epidemiological and ecological issue.	abstract	1	1	
42	432839;ROBI_000003	432839	Acrobates pygmaeus	Acrobates pygmaeus	5322824	ÃAustralia	Australia	ROBI_000314	infects	infection	1	2	1	32802738	1.0258333333333334	0.53375	1.0258333333333334	Disseminated protozoal infection in a wild feathertail glider (Acrobates pygmaeus) in Australia.	title	0	0	pays a la place d'une espce
43	737940;ROBI_000072	301830	Chaetosphaeria	Chaetosphaeria	4059645	Phialosporostilbe	Phialosporostilbe	ROBI_000072	host	host	1	1	1	35736126	0.86375	0.86375	0.86375	Based on morphological characteristics and phylogenetic analysis of a combined LSU and ITS sequence dataset, Chaetosphaeria obovoidea, Codinaea aseptata, Codinaeella hyalina, Dictyochaeta guizhouensis and Paragaeumannomyces guttulatus were introduced as new species, Codinaea terminalis was reported as new host record, and Codinaea dwaya and Phialosporostilbe scutiformis were introduced as new collections.	abstract	1	0	description de nouvelles espces
44	749644;ROBI_000200	749626	Phocidae	seals	749644	Odobenus rosmarus	walrus	ROBI_000201	predator	predator	3	3	1	26497629	0.4095833333333333	0.4095833333333333	1.200819597069597	OBJECTIVES The Arctic diet is partly constituted by traditional food characterized by top predator animals such as whales, walrus, and seals with high mercury content.	abstract	1	0	2 espces manges par la meme
45	327618;ROBI_000003	327618	Lutreolina crassicaudata	Lutreolina crassicaudata	779555	Trypanosoma cruzi	Trypanosoma cruzi	ROBI_000314	infects	infection	1	1	1	13969539	0.61375	0.61375	0.61375	[Natural infection of Lutreolina crassicaudata crassicaudata by Trypanosoma cruzi].	title	1	1	
46	297528;ROBI_000200	297528	Lagothrix lagotricha	Lagothrix lagotricha	906307	Tayassu pecari	Tayassu pecari|white-lipped peccary	ROBI_000203	hunts	hunting|hunted	1	1	1	17883483	0.5604166666666667	0.5604166666666667	0.5604166666666667	We used the Robinson and Redford (1991) index to identify five prey species hunted at or above maximum sustainable yield within the approximately 150-km(2) core hunting zones of the two communities: woolly monkey (Lagothrix lagotricha), spider monkey (Ateles chamek), white-lipped peccary (Tayassu pecari), Razor-billed Currasow (Mitu tuberosa), and Spix's Guan (Penelope jacquacu).	abstract	1	0	2 proies de la meme rgion
47	289332;ROBI_000072	184411	Ephestia kuehniella	Ephestia kuehniella	289332	Trichogramma euproctidis	Trichogramma euproctidis	ROBI_000072	host	host	1	1	1	35275199	0.5662499999999999	0.5662499999999999	0.5662499999999999	Selected life history parameters of Trichogramma euproctidis (Girault) (Hymenoptera: Trichogrammatidae), an established egg parasitoid species in Khuzestan- Southwest Iran, were appraised at eight constant temperatures (22.5, 25, 27.5, 30, 32.5, 35, 37.5, and 40Â°C) using Ephestia kuehniella Zeller (Lepidoptera: Pyralidae) eggs as the host.	abstract	1	1	
48	596443;ROBI_000200	568999	Anisoptera	dragonflies	596443	Micronycteris microtis	Micronycteris microtis	ROBI_000202	preys	preys on	1	1	1	23325775	0.49125	0.49125	0.49125	The gleaning insectivorous bat Micronycteris microtis however, forages in dense understory vegetation and preys on insects, including dragonflies, which rest silent and motionless on vegetation.	abstract	1	1	
49	304574;ROBI_000072	770309	Homo	humans	879259	Alaria alata	Alaria alata	ROBI_000072	host	hosts of	2	2	1	32373460	0.7933333333333333	0.7933333333333333	1.3158333333333334	Various species of mammals, including humans and wild boars, can serve as paratenic hosts of Alaria alata mesocercariae - Distomum musculorum suis (DMS).	abstract	1	1	
50	697971;ROBI_000072	342315	Caminibacter mediatlanticus	Caminibacter mediatlanticus	697971	Campylobacter curvus	Campylobacter curvus	ROBI_000072	host	host	1	1	1	28388834	0.5712499999999999	0.5712499999999999	0.5712499999999999	Here, ÎµHao proteins from the host-associated Epsilonproteobacteria Campylobacter fetus and Campylobacter curvus and the deep-sea hydrothermal vent bacteria Caminibacter mediatlanticus and Nautilia profundicola were purified as ÎµHao-maltose binding protein fusions produced in Wolinella succinogenes.	abstract	1	0	exprience sur diffrentes bactries
51	378964;ROBI_000200	378964	Solanum lycopersicum	Tomato	889220	Tuta absoluta	Tuta absoluta	ROBI_000201	predator	Predators	23	28	1	29177897	1.4026785714285714	0.5237499999999999	13.504580627705629	Attraction of Three Mirid Predators to Tomato Infested by Both the Tomato Leaf Mining Moth Tuta absoluta and the Whitefly Bemisia tabaci.	title	1	1	relation concerne une autre espce
52	639117;ROBI_000001	639117	Alnus rubra	Alnus rubra	7635273	Frankia	Frankia	ROBI_000072	host	host	3	3	1	24277522	0.8428125	0.8428125	1.9242708333333332	In addition to in vitro nitrogen-fixing capacity, one out of 20 colonies also formed nitrogen-fixing root nodules on Alnus rubra, the host plant for the Frankia strain.	abstract	1	1	
53	120915;ROBI_000012	120915	Hibiscus trionum	Hibiscus trionum	675118	Papilionoidea	butterflies	ROBI_000012	pollinates	pollinators	1	1	1	25040014	0.7906944444444444	0.7906944444444444	0.7906944444444444	The flower of Hibiscus trionum has the potential to interact with its pollinators (honeybees, other bees, butterflies and flies) through iridescent signals produced by its cuticular diffraction grating.	abstract	1	1	
54	693332;ROBI_000003	693332	Aythya americana	Aythya americana	7997488	Leucocytozoon	Leucocytozoon	ROBI_000314	infects	infections	1	1	1	7563433	0.5570833333333334	0.5570833333333334	0.5570833333333334	We detected no infections with species of Plasmodium, Haemoproteus, Leucocytozoon, Sarcocystis or Trypanosoma in blood smears, liver and spleen impressions, and muscle tissue from 136 redheads (Aythya americana) collected or captured at the Chandeleur Islands, Louisiana (USA), during three winters (1987 to 1990).	abstract	1	0	indique l'absence d'infection entre ces 2 espces
55	64965;ROBI_000007	154029	Persicaria chinensis	Persicaria chinensis	361565	Fallopia multiflora	Chinese knotweed	ROBI_000012	pollinates	pollinators	1	1	1	25913190	0.5449999999999999	0.5449999999999999	0.5449999999999999	DNA barcoding implicates 23 species and four orders as potential pollinators of Chinese knotweed (Persicaria chinensis) in Peninsular Malaysia.	title	0	0	synonyme != espce indique
56	126352;ROBI_000003	126352	Pyrus elaeagrifolia	Pyrus elaeagrifolia	197803	Amelanchier	Amelanchier	ROBI_000313	pathogen	pathogen	1	1	1	30781080	0.553125	0.553125	0.553125	For the first time, we found fire blight on Pyrus elaeagrifolia and Amelanchier sp. grown in a park area (Plovdiv Region), providing evidence of continuing spread of the pathogen in Bulgaria.	abstract	1	0	hote de la meme maladie
57	389270;ROBI_000003	186488	Perca fluviatilis	perch|Perca fluviatilis	389270	Diplostomum baeri	Diplostomum baeri	ROBI_000314	infects	infection	1	1	1	2387975	0.5633333333333334	0.5633333333333334	0.5633333333333334	Thermal effects on the dynamics of infection with metacercariae of Diplostomum baeri and D. spathaceum were monitored between May and September, in a year-class of perch Perca fluviatilis, in an artificial lake receiving warm water discharges from a nuclear power station and in an unheated reference site, for a two year period.	abstract	1	1	
58	655134;ROBI_000313	655134	Kocuria salsicia	Kocuria salsicia	770309	Homo	humans	ROBI_000314	infects	infections	1	1	1	35310564	0.7983333333333333	0.7983333333333333	0.7983333333333333	Kocuria salsicia can survive in extreme environments and cause infections, including catheter-related bacteremia, in humans.	abstract	1	1	
59	3199348;ROBI_000001	3199348	Papaipema nebris	Papaipema nebris	719149	Mythimna unipuncta	Mythimna unipuncta	ROBI_000072	host	host	1	1	1	27325884	0.5549999999999999	0.5549999999999999	0.5549999999999999	Polyphagous pests, such as true armyworm (Mythimna unipuncta Haworth), black cutworm (Agrotis ipsilon Hufnagel), and common stalk borer (Papaipema nebris Guenee), whose host range includes rye have the potential to cause injury to crops following a rye cover crop.	abstract	1	0	2 espces qui sont des ravageurs
60	886093;ROBI_000200	871814	Rana latastei	Rana latastei	886093	Rana dalmatina	agile frog	ROBI_000201	predator	predator	3	4	1	33795420	1.0054166666666666	0.52875	2.0804166666666664	Contextual behavioural plasticity in Italian agile frog (Rana latastei) tadpoles exposed to native and alien predator cues.	title	0	0	synonyme != espce indique
61	765295;ROBI_000001	765295	Dactylopius coccus	Dactylopius coccus	909618	Candidatus Dactylopiibacterium carminicum	Dactylopiibacterium carminicum	ROBI_000016	symbiosis	Symbiont	2	2	1	30609847	0.56	0.56	1.0704166666666666	Metatranscriptomic Analysis of the Bacterial Symbiont Dactylopiibacterium carminicum from the Carmine Cochineal Dactylopius coccus (Hemiptera: Coccoidea: Dactylopiidae).	title	1	1	
62	718377;ROBI_000313	39156	Akkermansia muciniphila	Akkermansia muciniphila	718377	Bacteroides cellulosilyticus	Bacteroides cellulosilyticus	ROBI_000314	infects	infection	1	1	1	35258762	0.5741666666666666	0.5741666666666666	0.5741666666666666	We identified the abundance of some gut microbes altered post-SARS-CoV-2 infection and related to disease severity, such as Enterococcus faecium, Coprococcus comes, Roseburia intestinalis, Akkermansia muciniphila, Bacteroides cellulosilyticus and Blautia obeum.	abstract	1	0	2 microbes intestinaux
63	891878;ROBI_000202	24894	Solaster endeca	Solaster endeca	478655	Cucumaria frondosa	Cucumaria frondosa	ROBI_000202	preys	preyed on	1	1	1	31857815	0.556875	0.556875	0.556875	The orange-footed sea cucumber Cucumaria frondosa is a slow-moving suspension feeder that is preyed on by the purple sunstar Solaster endeca.	abstract	1	1	
64	1082739;ROBI_000001	1082739	Rorippa sylvestris	Rorippa sylvestris	556245	Nasturtium officinale	Nasturtium officinale	ROBI_000051	present in	presence of	1	1	1	33744557	0.5591666666666666	0.5591666666666666	0.5591666666666666	In this way, we obtained GSL profiles of Barbarea australis, Barbarea grayi, Planodes virginica selected for its apparent intermediacy between Barbarea and the remaining tribe and family, and Rorippa sylvestris and Nasturtium officinale, for which the presence of acyl derivatives of GSLs was previously untested.	abstract	1	0	etudes sur plusieurs espces
